Class,Skewness,Curtosis,Entropy,Variance
0,8.6661,-2.8073,-0.44699,3.6216
0,8.1674,-2.4586,-1.4621,4.5459
0,-2.6383,1.9242,0.10645,3.866
0,9.5228,-4.0112,-3.5944,3.4566
0,-4.4552,4.5718,-0.9888,0.32924
0,9.6718,-3.9606,-3.1625,4.3684
0,3.0129,0.72888,0.56421,3.5912
0,-6.81,8.4636,-0.60216,2.0922
0,5.7588,-0.75345,-0.61251,3.2032
0,9.1772,-2.2718,-0.73535,1.5356
0,8.7779,-2.2135,-0.80647,1.2247
0,-2.7066,2.3946,0.86291,3.9899
0,7.6625,0.15394,-3.1108,1.8993
0,10.843,2.5462,-2.9362,-1.5768
0,8.7261,-2.9915,-0.57242,3.404
0,-3.3895,3.4896,1.4771,4.6765
0,3.0646,0.37158,0.58619,2.6719
0,2.8473,4.3439,0.6017,0.80355
0,-4.8794,8.3428,-2.1086,1.4479
0,11.0272,-4.353,-4.1013,5.2423
0,7.8902,-2.6196,-0.48708,5.7867
0,-4.4552,4.5718,-0.9888,0.3292
0,10.1622,-3.8235,-4.0172,3.9362
0,8.8855,-1.6831,-1.6599,0.93584
0,9.887,-4.6795,-3.7483,4.4338
0,-5.4981,8.3368,-2.8715,0.7057
0,-3.7413,5.5777,-0.63578,1.1432
0,8.3909,2.1624,-3.7405,-0.38214
0,9.8187,-4.4113,-3.2258,6.5633
0,-3.3584,3.4202,1.0905,4.8906
0,-0.17797,4.9068,0.15429,-0.24811
0,3.6274,3.308,0.48921,1.4884
0,7.617,-2.3874,-0.96164,4.2969
0,9.4111,1.7305,-4.8629,-0.96511
0,0.80908,8.1628,0.60817,-1.6162
0,6.4417,-0.80743,-0.69139,2.4391
0,6.0195,-0.46641,-0.69268,2.6881
0,0.81322,1.6277,0.77627,3.6289
0,3.1929,-2.1055,0.29653,4.5679
0,9.7008,-3.7541,-3.4379,3.4805
0,8.722,-3.0224,-0.59699,4.1711
0,9.2207,-3.7044,-6.8103,-0.2062
0,9.2931,-0.41243,-1.9638,-0.0068919
0,5.8395,2.3235,0.066365,0.96441
